transformer,model,split_number,fit_time,score_time,test_r2,train_r2,test_mean_absolute_error,train_mean_absolute_error,test_mean_squared_error,train_mean_squared_error,test_root_mean_squared_error,train_root_mean_squared_error,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error
StandardScaler,CatBoostRegressor,0,312.8994743824005,0.5548596382141113,0.9995136491182396,0.9995035529073478,0.05397124411307573,0.05390101960780942,0.00533780644925019,0.005420076856910057,0.07306029324640156,0.07362117125467413,17616171143650.83,17461950622800.797
StandardScaler,CatBoostRegressor,1,310.8075125217438,0.47324514389038086,0.9995063725007658,0.9995162134902037,0.054095411300943544,0.053692167942646536,0.005396625377578994,0.00528702142279889,0.07346172729781811,0.07271190702215759,17386979935307.877,17234076404885.982
StandardScaler,CatBoostRegressor,2,311.3007001876831,0.4576740264892578,0.999495724527365,0.999505524459507,0.054245067068569464,0.05389143786140104,0.005469229535306173,0.005414535659146859,0.07395423946810739,0.07358352844996534,16048936800472.793,16319733364822.375
StandardScaler,CatBoostRegressor,3,467.4212534427643,0.4650905132293701,0.9995132738123416,0.9995200648302277,0.05377991705890489,0.05341912034050784,0.005299924402969555,0.00525016458103009,0.07280057968841701,0.07245801943905236,17565533271245.531,17271869179548.621
StandardScaler,CatBoostRegressor,4,439.833957195282,0.46619081497192383,0.9995220116635389,0.9995234990352854,0.05343945941804627,0.053164330103283385,0.00525944256681568,0.00519895875935317,0.07252201435988716,0.07210380544293879,16722304315054.158,16521719749643.367
MinMaxScaler,CatBoostRegressor,0,290.2430589199066,0.4404022693634033,0.9995136491182396,0.9995035529073478,0.05397124411307573,0.05390101960780942,0.00533780644925019,0.005420076856910057,0.07306029324640156,0.07362117125467413,17616171143650.83,17461950622800.797
MinMaxScaler,CatBoostRegressor,1,297.93795251846313,0.4737999439239502,0.9995063725007658,0.9995162134902037,0.054095411300943544,0.053692167942646536,0.005396625377578994,0.00528702142279889,0.07346172729781811,0.07271190702215759,17386979935307.877,17234076404885.982
MinMaxScaler,CatBoostRegressor,2,325.64363050460815,0.4988222122192383,0.999495724527365,0.999505524459507,0.054245067068569464,0.05389143786140104,0.005469229535306173,0.005414535659146859,0.07395423946810739,0.07358352844996534,16048936800472.793,16319733364822.375
MinMaxScaler,CatBoostRegressor,3,327.0607376098633,0.4929077625274658,0.9995132738123416,0.9995200648302277,0.05377991705890489,0.05341912034050784,0.005299924402969555,0.00525016458103009,0.07280057968841701,0.07245801943905236,17565533271245.531,17271869179548.621
MinMaxScaler,CatBoostRegressor,4,330.27947759628296,0.4898045063018799,0.9995203413018965,0.9995218008800947,0.05341834221995413,0.053165327804671085,0.00527782203437536,0.0052174868200645,0.07264862031983374,0.07223217302604498,16328038723385.916,16160615447495.771
RobustScaler,CatBoostRegressor,0,318.49964570999146,0.5319478511810303,0.9995136491182396,0.9995035529073478,0.05397124411307573,0.05390101960780942,0.00533780644925019,0.005420076856910057,0.07306029324640156,0.07362117125467413,17616171143650.83,17461950622800.797
RobustScaler,CatBoostRegressor,1,318.852308511734,0.520519495010376,0.9995063725007658,0.9995162134902037,0.054095411300943544,0.053692167942646536,0.005396625377578994,0.00528702142279889,0.07346172729781811,0.07271190702215759,17386979935307.877,17234076404885.982
RobustScaler,CatBoostRegressor,2,320.2604167461395,0.5463194847106934,0.999495724527365,0.999505524459507,0.054245067068569464,0.05389143786140104,0.005469229535306173,0.005414535659146859,0.07395423946810739,0.07358352844996534,16048936800472.793,16319733364822.375
RobustScaler,CatBoostRegressor,3,321.52117228507996,0.5224518775939941,0.9995132738123416,0.9995200648302277,0.05377991705890489,0.05341912034050784,0.005299924402969555,0.00525016458103009,0.07280057968841701,0.07245801943905236,17565533271245.531,17271869179548.621
RobustScaler,CatBoostRegressor,4,318.9892702102661,0.496326208114624,0.9995220116635389,0.9995234990352854,0.05343945941804627,0.053164330103283385,0.00525944256681568,0.00519895875935317,0.07252201435988716,0.07210380544293879,16722304315054.158,16521719749643.367
