P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
1,0,0.32078818577147766,116.73633240498637,0.10348965638739917,0.210979503726623,0.009295482362122232,0.9955336674814288,2.2966872408170427,-2567.569870818706,-2557.513467954589
2,0,0.33174837911508787,124.80174994032294,0.11063984923787495,0.21961719860984444,0.009774178454232825,0.9953416704698681,2.136496327892773,-2489.2616703711265,-2474.177066074954
3,0,0.3362233497564767,128.3193147447219,0.11375825775241306,0.22175089099720596,0.009894372621892834,0.9952239253136395,2.070552973720912,-2458.1332036118115,-2438.0203978835775
4,0,0.3356664624704844,127.80713044461783,0.11330419365657605,0.22094695252142144,0.00966209985348548,0.9950959640660879,2.0570739122754667,-2459.026577189133,-2433.8855700288436
5,0,0.33835734411596063,129.764005246312,0.11503901174318457,0.2201731889430231,0.009617517541827266,0.9950164189305315,2.038573591972414,-2438.1335098585555,-2407.9643012662054
6,0,0.3377187000219506,129.2787801008572,0.1146088476071429,0.21785950488811323,0.009436234493516465,0.994972912335384,2.0229520516581445,-2440.4020092710743,-2405.204599246669
7,0,0.3378054379487689,129.29197912950508,0.11462054887367473,0.2172726010189632,0.00932355305036102,0.9948898858457511,2.031449862736864,-2437.3696621137096,-2397.144050657245
8,0,0.3436505245015557,133.8770556208278,0.11868533299718778,0.2206274855654367,0.0095091156855881,0.9947145723760723,2.0169242984228375,-2397.297641233473,-2352.043828344951
9,0,0.3398526924096117,130.74518367552002,0.11590885077617026,0.21951771508178228,0.009023465571751838,0.9944719962187307,2.0110990144922107,-2418.7477213985717,-2368.465707077993
10,0,0.34148187516439527,131.96487498375996,0.11699013739695029,0.2201270994331552,0.009025658948947671,0.9943914604792944,2.009169886076331,-2405.656164124906,-2350.345948372268
